# Foto de los ASUNTOS de Jira del proyecto SCRUM — NO se edita a mano.
#
# Para que sirve: el enlace ticket<->rama vive implicito en el nombre de la rama, el mensaje
# del commit y el fichero de docs/master/. Los tres son del REPO. El asunto del TICKET vive solo
# en Jira, y sin el no se puede saber si los tres hablan de lo mismo — que es el caso SCRUM-706.
#
# Tomada el 2026-09-07 con el MCP de Atlassian sobre cloudId 30938fdf-…
# 🔴 TRAMPA MEDIDA AL TOMARLA: la JQL de RANGO («key >= SCRUM-816 AND key <= SCRUM-915») devolvio
#    CERO con SCRUM-816/817/818 existiendo. La misma consulta como «key in (...)» los devuelve los
#    tres. Un rango que miente no da error: da un cero creible. Por eso el instrumento compara su
#    cobertura contra los numeros que encuentra en el repo y DECLARA los que no tiene.
#
# clave	estado	asunto
SCRUM-76	Finalizada	Email · adjunto del PDF no garantizado en todas las ramas (+ .eml outbox rama muerta) — crítico tras quitar el botón en SCRUM-72
SCRUM-77	Finalizada	WhatsApp/Meta · payment_request_es con URL estática {{1}} (P3-1 confirmado): acción del fundador en WhatsApp Manager
SCRUM-78	Finalizada	QA · la suite gateada es no-determinista bajo concurrencia contra staging (P3-10) + tests que dependen del merchant id=1 quemado (P3-9)
SCRUM-79	Finalizada	QA · Los tests crean merchants FUERA del try: la limpieza en finally es optimista y deja huérfanos de forma repetible (24 de 24 ficheros)
SCRUM-80	Finalizada	QA · 3 tests más dependen del merchant id=1 quemado (pdfs, a55-window-quote, bot-suite) — mismo patrón de SCRUM-78
SCRUM-81	Finalizada	FISCAL · allocateInvoiceNumber resuelve el modo de emisión sin leer merchant.flags — una factura fiscal podría salir con número de justificante
SCRUM-82	Finalizada	Export ZIP · incluir el XML VeriFactu cuando INVOICING_ES_ENABLED se encienda (hoy se omite en silencio) — gate: post SIF-1
SCRUM-83	Finalizada	Export ZIP · asíncrono para paquetes grandes (hoy limitado por tope: el render de PDFs domina el time-to-first-byte)
SCRUM-84	Finalizada	Infra/QA · segunda BD en el Postgres de staging (una por carril) para eliminar el cuello de botella — coste cero
SCRUM-85	Finalizada	🔴 SEGURIDAD/RGPD · /pay/card, /pay/bizum y /pay/invoice enumerables por chargeId (la TERCERA puerta de la misma fuga)
SCRUM-86	Finalizada	CSV · los exports no se abren bien en Excel ES: separador coma y punto decimal (rompe el DONE de SCRUM-25)
SCRUM-87	Finalizada	🔴🔴 SEGURIDAD/RGPD · ~100 PDFs de clientes reales COMMITEADOS en public/invoices/ y servidos sin auth (la 72 no los movió)
SCRUM-88	Finalizada	SEGURIDAD · Auditoría sistemática de superficie pública (rutas, estáticos, tokens, enlaces, exports, logs) — dejar de descubrir fugas por tropiezo
SCRUM-89	Finalizada	UI · un Operario ve botones que ahora dan 403 (y el mensaje empeoró) — regresión de los gates de SCRUM-55
SCRUM-90	Finalizada	🔴 SEGURIDAD/RGPD · /pay/bank (¡expone el IBAN del profesional!) y /pay/mp enumerables — la QUINTA puerta
SCRUM-91	Finalizada	🔴 CAPTACIÓN · el magic link no llega a Hotmail/Outlook: un profesional con esa cuenta no puede entrar (revisar Resend + SPF/DKIM/DMARC)
SCRUM-92	Finalizada	AUTH · un Operario no puede volver a entrar: /auth/login solo busca en Merchant y le responde que le llegará un email que nunca se envía
SCRUM-93	Finalizada	🔴 LEGAL/RGPD · No existe política de privacidad ni registro de tratamientos, y ya tratamos datos de clientes finales (que no son usuarios nuestros)
SCRUM-94	Finalizada	AUTH · registerMerchant no valida contra TeamMember.email: un operario puede auto-inducirse la colisión y perder su acceso
SCRUM-95	Finalizada	🔴🔴 SEGURIDAD/RGPD · POST /quote/:id/decision: sin auth, sin rate-limit, enumerable, filtra NIF del profesional Y MUTA ESTADO (sexta puerta)
SCRUM-96	Finalizada	🔴 SEGURIDAD/RGPD · public/outbox/ servido sin auth: los .eml de fallback llevan el email completo con adjuntos (misma clase que SCRUM-87, no cerrada allí)
SCRUM-97	Finalizada	🔴 SEGURIDAD · GET /admin/invoices/:id filtra IBAN, IDs de Stripe y portalToken del cliente a rol Técnico
SCRUM-98	Finalizada	GUARD A · test fail-closed: toda ruta pública debe declarar su categoría de acceso (cierra la CLASE de las seis puertas, no una instancia)
SCRUM-99	Finalizada	🔴 SEGURIDAD · /webhooks/mp y /webhooks/whatsapp son FAIL-OPEN: si falta el secreto, aceptan sin verificar firma
SCRUM-100	Finalizada	🟡 Tests fail-closed para los 4 webhooks (Stripe/Connect/MP/WhatsApp) — deuda tras SCRUM-99
SCRUM-101	Finalizada	SEGURIDAD/RGPD · emails en claro en los logs de producción, incluido el intento de login de cuentas inexistentes (enumeración vía logs)
SCRUM-102	Finalizada	SEGURIDAD · fees.csv (facturación de TODA la plataforma) protegido solo por una variable de entorno, sin factor en BD
SCRUM-103	Finalizada	SEGURIDAD · El ratchet cuenta entradas pero no las valida: la lista de pendientes aceptó una que decía que no había duda y que estaba abierta en producción
SCRUM-104	Finalizada	Export ZIP · clientes.csv se filtra por fecha de alta: el paquete puede traer facturas de clientes que no están en el CSV
SCRUM-105	Finalizada	Higiene de seguridad · cierre de los BAJOS de la auditoría (SESSION_SECRET muerto, entropía, Referrer-Policy, console.error crudo) + residuos de 99 y 102
SCRUM-106	Finalizada	PRODUCTO · ¿cuál es la fecha de un trabajo? trabajos.csv filtra por ALTA y no por ejecución — decidido por omisión, nunca elegido
SCRUM-107	Finalizada	Permisos · /admin/expenses se parte: el Técnico CREA gastos (obra) pero no LISTA los de la empresa
SCRUM-108	Finalizada	TESTS · Toda comprobación por ausencia necesita antes un assert de que lo buscado existe cuando debe
SCRUM-109	Finalizada	SCHEMA (carril A) · Expense.teamMemberId: sin campo de autoría el técnico no puede ver ni corregir el gasto que él mismo registró
SCRUM-110	Finalizada	AUTH · /auth/register no comprueba TeamMember.email: un Operario puede registrarse y auto-expulsarse de su cuenta (P0-AUTH-1)
SCRUM-111	Finalizada	🔴 TESTS · el canario de tenancy del ZIP busca en bytes COMPRIMIDOS: nunca ha podido detectar una fuga
SCRUM-112	Finalizada	TESTS · la limpieza depende de que cada autor se acuerde: 24 de 24 crean el merchant fuera del try — helper + after() global
SCRUM-113	Finalizada	TESTS · la limpieza depende de que cada autor se acuerde: 24 de 24 crean el merchant fuera del try
SCRUM-114	Finalizada	TESTS/ALBARANES · scrum49 falla en main: enviar-para-firmar devuelve 200 con ok:false (y deja una guarda de SCRUM-108 sin estrenar)
SCRUM-115	Finalizada	🔴 WhatsApp · el front dice "Enviado ✓" cuando el envío falló, y el fallo no se registra en ningún sitio
SCRUM-116	Finalizada	🔴 COBROS · un recordatorio fallido se guarda como enviado: desactiva el cron, engaña al usuario y contamina la métrica
SCRUM-117	Finalizada	MÉTRICA · reminderEur cuenta como recuperado lo que nunca se envió — y los datos viejos NO se pueden limpiar
SCRUM-118	Finalizada	🔴 QA/DATOS · el guard anti-prod solo busca la cadena "autorack": una URL de prod con otro host pasaría
SCRUM-119	Finalizada	🔴 TESTS/PAGOS · /pay/card comprueba Stripe ANTES de resolver el token: el 501 tapa el 404 y entierra el assert de aislamiento de /pay/invoice
SCRUM-120	Finalizada	PATCH /admin/jobs/:id no gatea por rol — un Operario puede cambiar tipoOperacion (bandera fiscal)
SCRUM-121	Finalizada	TESTS/WEBHOOKS · scrum50 falla en staging porque el fail-closed de SCRUM-99 funciona: falta WHATSAPP_APP_SECRET
SCRUM-122	Finalizada	P3-11 · scrum50-bot-albaranes.test.mjs no firma su payload a /webhooks/whatsapp (roto por el fail-closed de SCRUM-99)
SCRUM-123	Finalizada	DECISIÓN · ¿planExpiresAt en los defaults de withMerchant? — con los datos de los 25 ficheros ya vistos
SCRUM-124	Finalizada	AUDITORÍA · ¿Qué otra prohibición escrita queda sin mecanismo detrás? — y dónde parar la regresión infinita
SCRUM-125	Finalizada	DECISIÓN · El ratchet de SCRUM-113 cuenta FICHEROS y el trabajo se hace por bloques test() — medido: desvío del 12%
SCRUM-126	Finalizada	DECISIÓN · La convención \"200 + ok:false\" en los envíos es un punto ciego de monitorización — decidir si se mantiene, se cambia o se blinda con un guard
SCRUM-127	Finalizada	TESTS · requireActivePlan (paywall trial_expired) no tiene NINGÚN test — el bloqueo nunca se verifica
SCRUM-128	Finalizada	Guard fail-closed para los 9 endpoints de envío — que nadie consuma sent sin mirarlo (SCRUM-126 paso b)
SCRUM-129	Finalizada	🔴 n8n vivo en POST /charges/:id/send — regla dura 1 violada, y miente "sent" cuando no envía nada
SCRUM-130	Finalizada	🔴 PAGOS/REGULATORIO · /pay/card cae a la cuenta de PLATAFORMA sin Connect — la prohibición r23 solo la sostiene el selector del front
SCRUM-131	Finalizada	POST /admin/team/:id/resend miente {ok:true} si el email de invitación falla — mismo patrón que el cluster 114-127
SCRUM-132	Finalizada	PRESUPUESTOS/FISCAL · El "IVA general" del presupuesto no siembra las líneas — campo que no afecta a nada
SCRUM-133	Finalizada	PRESUPUESTOS/UX · Botón "+" para añadir línea debajo de la última (evitar volver arriba)
SCRUM-134	Finalizada	PRESUPUESTOS/PLANTILLAS · Seleccionar una plantilla abre contenido equivocado (borrador pendiente u otra plantilla), no la seleccionada
SCRUM-135	Finalizada	GASTOS/UX · Asociar gasto a trabajo más fácil — añadir gasto desde Trabajos + selector de trabajos abiertos (no ID manual)
SCRUM-136	Finalizada	EQUIPO/OPERARIOS · Unificar en un solo apartado — resumen por operario + añadir miembros en el mismo sitio
SCRUM-137	Finalizada	DECISIÓN/S1 · Añadir rol "comercial" (permisos = operario) — decisión del fundador + máster
SCRUM-138	Finalizada	EXPORT/FINANZAS · Mover "descargar datos" de Configuración a un apartado propio en Finanzas + export selectivo (elegir qué incluir, no solo periodo)
SCRUM-139	Finalizada	UX/PRESUPUESTOS · Rediseñar el editor de presupuesto: de formulario de datos a \"cuadernillo\" (gate: feedback real primero)
SCRUM-140	Finalizada	Pasar la plantilla como ARGUMENTO en vez de por sessionStorage (elimina la clase entera del off-by-one de SCRUM-134)
SCRUM-141	Finalizada	FISCAL-1a · Factura final con deducción de anticipos (construible YA — independiente del dictamen P1)
SCRUM-142	Acción del fundador	🔒 FISCAL-1b · Emisión de la factura de anticipo y su fecha de devengo — BLOQUEADO por dictamen P1
SCRUM-143	Acción del fundador	🔴 LEGAL/VERIFACTU · Respuesta oficial AEAT: el Convenio 017 EXIGE sociedad mercantil — tres modelos de envío y cuál no está bloqueado
SCRUM-144	Finalizada	VERIFACTU · Modelo C (el merchant remite con su propio certificado) — construible YA, sin SL ni convenio
SCRUM-145	Finalizada	VERIFACTU 144a · Payload conforme a los XSD oficiales (gaps 1-6 + vf_timestamp + anulación) — común a todos los modelos de envío
SCRUM-146	Finalizada	VERIFACTU 144b · DECISIÓN de transporte: apoderamiento (B) vs custodia de certificados (C1) vs utilidad local (C2)
SCRUM-147	Finalizada	🔴 S1/SEGURIDAD · Dos denylists `=== 'tecnico'` siguen vivas y fallan ABIERTO — SCRUM-55 dejó el trabajo a medias
SCRUM-148	Finalizada	EQUIPO · Detalle por miembro (sus presupuestos y trabajos) — exige filtro por teamMemberId en quotes y jobs
SCRUM-149	Finalizada	🔴 FISCAL · createInvoiceFromQuoteAdmin es código muerto que emitiría factura SIN líneas (huella VeriFactu con cuota 0,00) e ignorando el plan de tramos
SCRUM-150	Finalizada	PAGO/TRANSFERENCIA · La página /pay/bank desborda a 390px (el botón "Copiar IBAN" se sale) y el importe no va en es-ES
SCRUM-151	Finalizada	GAP conocido · Un Trabajo con condiciones MANUAL/SIN_CONDICIONES no se puede facturar por NINGUNA vía
SCRUM-152	Finalizada	EXPORT · Guard: el paquete no puede perder un dataset en silencio (4 listas que deben cuadrar)
SCRUM-153	Finalizada	FISCAL/FSM · Anular una factura emitida: el disparador que falta (pending → annulled) — la maquinaria ya está
SCRUM-154	Finalizada	🔴 CI · No hay nada que corra npm test en un PR: los guards solo saltan DESPUÉS del merge, sobre main
SCRUM-155	Finalizada	🔴 QA/SEGURIDAD · A12.4 puede estar dando cobertura FALSA: las rutas con :id se piden sin sustituir el parámetro (404 de parseo, no 403 de rol)
SCRUM-156	Finalizada	main en rojo: scrum51-job-sin-quote.test.mjs crea el merchant a mano y hace saltar el ratchet de SCRUM-113
SCRUM-157	Finalizada	🔴 QA · Dos tests cuentan como cobertura y no corren NUNCA: A55_DB_TEST y BOT_SUITE_TEST no los setea ningún script ni la tanda gateada de rutina
SCRUM-158	Finalizada	QA/ROLES · Invariante: todo montaje admin-gateado debe tener ≥1 ruta muestreada en ADMIN_ONLY_ROUTES (la lista es literal y no sigue al árbol)
SCRUM-159	Finalizada	🔴 QA/DATOS · P3-9 · a55-window-quote y bot-suite fallan en el seed: el merchant demo id=1 quedó inerte en SCRUM-42 y sus clientes seed no existen
SCRUM-160	Finalizada	🔴 QA · La tanda gateada completa sale roja en 21/337 — triage: separar fallo del runner, estado sucio de staging y podredumbre real
SCRUM-161	Finalizada	CI · La tanda de tests gateados NO está en el CI: sigue dependiendo de que alguien se acuerde de tecleaerla (tercer caso del mismo patrón)
SCRUM-162	Finalizada	Conceptos y plantillas FRECUENTES de verdad: hace falta contar usos (hoy no existe la señal)
SCRUM-163	Finalizada	🔴 STAGING · PUBLIC_BASE_URL es el placeholder literal &lt;TU-URL-DE-STAGING&gt;: rompe la confirmación de Bizum y TODO enlace que el sistema genera
SCRUM-164	Finalizada	QA/SEGURIDAD · Gate inline en jobs.routes.ts:331 — protege PATCH /admin/jobs/:id sin requireRole, invisible a la lista y a la derivación
SCRUM-165	Finalizada	🔴 QA/DATOS · REGRESIÓN de SCRUM-118: DATABASE_URL se asigna DESPUÉS de un await — 5 tests nacen con el cliente Prisma sin variable
SCRUM-166	Finalizada	QA · Unificar test:staging con el runner gateado — un solo comando, env resuelta en JS y no en shell
SCRUM-167	Finalizada	QA · Nada detecta que staging va por detrás de schema.prisma: la deriva se manifiesta como 16 fallos crípticos en 14 ficheros
SCRUM-168	Finalizada	CI · Job NO bloqueante «este PR toca la zona roja» — la ÚNICA señal sobre la zona roja (no hay gate de Code Owners y no lo habrá)
SCRUM-169	Finalizada	PROCESO/DATOS · Un cambio de schema no está aplicado hasta estarlo en las TRES BD: el registro solo contempla dos
SCRUM-170	Finalizada	FACT-2c · Facturación PARCIAL por cantidad servida (parte del albarán) — 🚨 SCHEMA + estado nuevo (cambio de máster)
SCRUM-171	Finalizada	FACT-2d · Facturación recurrente/periódica por cliente (mensual, quincenal) — 🚨 SCHEMA (periodicidad) + cron
SCRUM-172	Finalizada	QA/DATOS · MODELOS_POR_MERCHANT es una lista a mano sin FK detrás: si deriva, la limpieza deja basura en silencio
SCRUM-173	Finalizada	🔴 FISCAL · La factura recapitulativa se emite SIN registro VeriFactu: emitInvoice no llama a applyVeriFactu (agujero en la cadena, tapado por el flag)
SCRUM-174	Finalizada	QA/DATOS · withMerchant barre botSession por merchantId, pero BotSession.merchantId es nullable: las sesiones de primer contacto quedan huérfanas
SCRUM-175	Finalizada	DINERO/QA · El candado de SCRUM-116 está en rojo: el envío falla y aun así se marca como enviado — decidir si es artefacto de staging o fuga real
SCRUM-176	Finalizada	PROCESO/GUARD · `guard-dangerous` casa por substring en el MENSAJE de commit: escribir «db push» en prosa bloquea un commit inocente
SCRUM-177	Finalizada	🔴 FISCAL/VERIFACTU · Asimetría de lectura de la cadena: el alta ignora las anulaciones, la anulación no
SCRUM-178	Finalizada	FISCAL · Vía de emisión manual para Trabajos con condiciones MANUAL/SIN_CONDICIONES (decisión tomada, falta construir)
SCRUM-179	Finalizada	PROCESO/QA · Nada sincroniza CODEOWNERS con la zona roja de ASESOR.md §4: dos listas a mano que ya han derivado en las DOS direcciones
SCRUM-180	Finalizada	🔴 QA/WHATSAPP · Los fixtures fabrican teléfonos en 34600xxxxxx, que es rango móvil ES REAL: lo único que impide enviar a desconocidos es una env var fijada dentro del propio fichero
SCRUM-181	Finalizada	QA/RUNNER · La tanda gateada no tiene timeout NI salida en directo: un hijo colgado es indistinguible de uno lento, y bloquea el turno de staging para siempre
SCRUM-182	Finalizada	🔴 QA/WORKTREES · R6 serializa la BD pero NO los artefactos de build: una tanda de 10 min puede leer un dist que otra sesión reescribió a mitad
SCRUM-183	Finalizada	REGISTRO/GUARD · F6 se mergeó ROTA y estuvo así en producción: un ReferenceError mataba medio render y nadie lo notó porque la página cargaba
SCRUM-184	Finalizada	🔴 QA · `e2e:critico` está ROJO en main: no pasa de «landing sin botón de aceptar» — la puerta de «despliega tranquilo» lleva media función
SCRUM-185	Finalizada	🔒 ENTORNO · Faltan las 5 variables del PRODUCTOR de VeriFactu en Railway: los tests de SCRUM-73 y 82 no pueden pasar aunque el código esté perfecto
SCRUM-186	Finalizada	QA/DOC · Principio de borrado en fixtures (FK-Restrict grita, sin-FK falla mudo) en SUITE_REGRESION — escrito y pusheado, pendiente de revisión cruzada
SCRUM-187	Finalizada	PROCESO/QA · Guard que ate CODEOWNERS a ZONA_ROJA — desbloquea lo que SCRUM-179 dejó esperando, con la divergencia ya medida (8 rutas, una sola dirección)
SCRUM-188	Finalizada	QA/RUNNER · El turno de staging (R6) es una convención humana INVISIBLE: dos sesiones concurrentes pueden borrarse los merchants a mitad de tanda — y salir VERDE por accidente
SCRUM-189	Finalizada	QA/DOC · «regla 3 del runbook» es una cita cierta pero AMBIGUA: apunta a un fichero donde el 3 significa otra cosa (pagos). Heredada de SCRUM-113 y copiada a 4 sitios
SCRUM-190	Finalizada	Un worktree recién creado no está instalado: 114 fallos que parecen reales — el arreglo es que NAZCA instalado, no que uno se acuerde
SCRUM-191	Finalizada	🔴 PAGOS/DATOS · El webhook de Connect graba `method:'card'` a fuego: un Bizum automático se registraría como TARJETA — y bloquea encender BIZUM_AUTO_ENABLED
SCRUM-192	Finalizada	DATOS/SCHEMA · Ninguno de los 21 modelos con merchantId tiene FK: borrar un merchant deja huérfanos en silencio (el comentario decía 12, son 0)
SCRUM-193	Finalizada	PROCESO/QA · `_guard-texto.mjs` está escrito pero NO es el camino por defecto: cuatro guards se cazaron a sí mismos contra su propia prosa, el último con el helper ya existiendo
SCRUM-194	Finalizada	DATOS · 68 filas huérfanas en staging (AuditLog 47, WhatsAppMessage 21) — producción está limpia. Las crea la escritura TARDÍA, no la lista de modelos
SCRUM-195	Finalizada	PAGOS-FLEX-2 · MECANISMO 2 · Presupuestos adicionales firmados sobre el mismo Trabajo (Job 1:N Quote) — 🚨 SCHEMA en dos pasos, decisiones ya tomadas
SCRUM-196	Finalizada	🔴 SEGURIDAD · Inventario de vías de fuga de credenciales tras la rotación de prod: backup-dump.mjs imprime el error de pg_dump y la URL viaja como argumento (PROD, SIN verificar)
SCRUM-197	Finalizada	QA/RUNNER · El recibo de la tanda no guarda los tests POR HIJO: un hijo que crashea mientras otro tiene rojos queda enmascarado como «rojo normal» y el guard aconseja cuarentena en vez de re-correr
