# SCRUM-935 · perfil de una pasada completa del meta-guard
# mutaciones en el log: 307 · censo que declara el propio instrumento: 307
# fase de mutación: 561.3 s
#
# n	seg_desde_la_1a	fraccion_del_trabajo	veredicto	mutacion
62	93.7	0.1669	cae	scrum750-los-dos-calendarios.test.mjs · DELEGA y no recalcula
63	97.7	0.1741	cae	scrum751-clave-duplicada-en-silencio.test.mjs · NINGÚN objeto literal del árbol repite una clave
64	99.7	0.1777	cae	scrum751-clave-duplicada-en-silencio.test.mjs · NINGÚN objeto literal del árbol repite una clave
65	105.5	0.1880	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 CONTROL POSITIVO: un ticket que NO está en `main`, y el censo lo DICE   (+4 test(s) más caídos)
66	108.5	0.1932	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 el NO_MEDIBLE lleva SIEMPRE su motivo, y los motivos se distinguen   (+2 test(s) más caídos)
67	111.4	0.1985	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 el titular agregado sale SIEMPRE con su salvedad, del mismo valor   (+1 test(s) más caídos)
68	114.4	0.2038	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 la población NO vuelve a preguntarle a git: sale de la MISMA instantánea
69	117.4	0.2091	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 `origin/HEAD` no se cuenta como una rama (respuesta conocida: `ls-remote`)
70	122.4	0.2180	cae	scrum754-el-juez-que-oscila.test.mjs · el observador VE el transitorio y NO llama movimiento a una lectura
71	124.9	0.2225	cae	scrum754-el-juez-que-oscila.test.mjs · el observador VE el transitorio y NO llama movimiento a una lectura   (+2 test(s) más caídos)
72	127.4	0.2270	cae	scrum754-el-juez-que-oscila.test.mjs · PUERTA 0: la línea base movida sale CIEGA NOMBRANDO el movimiento
73	129.9	0.2314	cae	scrum754-el-juez-que-oscila.test.mjs · PUERTA 3 se consulta ANTES que `cayo()`
74	132.4	0.2359	cae	scrum754-el-juez-que-oscila.test.mjs · la MÍA cambiada sí, y con otro nombre
75	134.9	0.2404	cae	scrum754-el-juez-que-oscila.test.mjs · SUELO Y TOPE del margen
76	137.4	0.2449	cae	scrum754-el-juez-que-oscila.test.mjs · una marca de OTRA pasada VIVA no se repara
77	140.0	0.2494	cae	scrum755-el-contador-que-cuadro-solo.test.mjs · SCRUM-755 · 🔴 EL ÁRBOL PINTA MÁS MARCADORES DE LOS DECLARADOS
78	141.3	0.2517	cae	scrum755-el-contador-que-cuadro-solo.test.mjs · SCRUM-755 · 🔴 UN FICHERO NUEVO EMPIEZA A PINTAR MARCADOR   (+2 test(s) más caídos)
79	143.2	0.2551	cae	scrum756-el-rechazo-se-ve.test.mjs · EL QUE DECIDE: sin pasar por Clientes, el rechazo SE VE   (+2 test(s) más caídos)
80	144.1	0.2568	cae	scrum756-el-rechazo-se-ve.test.mjs · LA TRAMPA: tras visitar Clientes, el aviso del DOCUMENTO no va a su caja   (+3 test(s) más caídos)
81	145.1	0.2585	cae	scrum756-el-rechazo-se-ve.test.mjs · el aviso SE TRAE A LA VISTA: una vez, y sobre la caja   (+1 test(s) más caídos)
82	149.1	0.2656	cae	scrum757-la-declaracion-que-nadie-lee.test.mjs · una declaración NO EVALUABLE se DENUNCIA con fichero y línea   (+2 test(s) más caídos)
83	151.0	0.2691	cae	scrum757-la-declaracion-que-nadie-lee.test.mjs · una declaración NO EVALUABLE se DENUNCIA con fichero y línea
84	153.0	0.2727	cae	scrum757-la-declaracion-que-nadie-lee.test.mjs · una declaración NO EVALUABLE se DENUNCIA con fichero y línea
85	154.5	0.2752	cae	scrum757-la-declaracion-que-nadie-lee.test.mjs · NEGATIVO: un objeto cualquiera del fichero NO se denuncia   (+1 test(s) más caídos)
86	155.5	0.2771	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · 🔴 NINGUNA cabecera del log contradice a su propio cuerpo   (+1 test(s) más caídos)
87	156.1	0.2781	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · el log DECLARA que no cubre migraciones de DATOS   (+1 test(s) más caídos)
88	156.6	0.2790	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · ✅ CONTROL POSITIVO: el detector CAZA una cabecera que miente (fabricada)
89	157.2	0.2800	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · 🔴 EL SUELO: la zona ciega NO CRECE — una entrada nueva en prosa muda es ROJO   (+1 test(s) más caídos)
90	157.7	0.2809	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · 🔴 EL SUELO: la zona ciega NO CRECE — una entrada nueva en prosa muda es ROJO   (+1 test(s) más caídos)
91	163.4	0.2911	cae	scrum759-el-guard-ciego-fuera-de-su-fichero.test.mjs · el rótulo de un adoptante está DERIVADO
92	166.3	0.2963	cae	scrum759-el-guard-ciego-fuera-de-su-fichero.test.mjs · lo declarado cuadra con lo leído
93	169.2	0.3014	cae	scrum759-el-guard-ciego-fuera-de-su-fichero.test.mjs · no confunde «no hay» con «no vi»
94	172.0	0.3064	cae	scrum759-el-guard-ciego-fuera-de-su-fichero.test.mjs · SUELO del censo   (+1 test(s) más caídos)
95	174.2	0.3104	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · la puerta de voz LLAMA a `invalidTipoIva`, no reimplementa la regla   (+2 test(s) más caídos)
96	175.3	0.3123	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · la puerta de voz LLAMA a `invalidTipoIva`, no reimplementa la regla
97	176.4	0.3143	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · la lista de tipos españoles vive en UN solo fichero de `src/`
98	177.5	0.3163	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · 🔴 EL CONTROL QUE DECIDE: el modelo contesta 21 y la pantalla NO pinta 100 %   (+1 test(s) más caídos)
99	178.6	0.3182	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · ✅ CONTROL POSITIVO: un 0.21 legítimo sigue dando 21 %, exactamente como hoy
100	183.8	0.3275	cae	scrum763-restaurar-el-arbol.test.mjs · el detector caza el desajuste entre el fuente y el árbol ejecutable
101	185.3	0.3301	cae	scrum763-restaurar-el-arbol.test.mjs · sólo se compila lo que se compila   (+4 test(s) más caídos)
102	186.4	0.3321	cae	scrum764-margen-negativo.test.mjs · EL QUE DECIDE: el caso del ticket, 150/100, sale marcado como bajo coste   (+1 test(s) más caídos)
103	187.0	0.3331	cae	scrum764-margen-negativo.test.mjs · POSITIVO: un margen normal NO se marca, y el cero tampoco   (+1 test(s) más caídos)
104	187.5	0.3341	cae	scrum764-margen-negativo.test.mjs · NEGATIVO: añadir el suelo por abajo NO ha roto el techo por arriba
105	188.1	0.3351	cae	scrum764-margen-negativo.test.mjs · y la clase existe en el CSS con esa tinta
106	188.7	0.3361	cae	scrum764-margen-negativo.test.mjs · Informes decide con el MÓDULO, no con un `< 0` propio   (+1 test(s) más caídos)
107	189.2	0.3371	cae	scrum764-margen-negativo.test.mjs · y las dos celdas de Informes usan `--danger-ink`   (+1 test(s) más caídos)
108	197.4	0.3517	cae	scrum765-la-puerta-y-el-suelo.test.mjs · la puerta ABRE en todas las formas de invocación   (+2 test(s) más caídos)
109	200.8	0.3578	cae	scrum765-la-puerta-y-el-suelo.test.mjs · CONTRASTE: la puerta NO abre para nadie que no sea el fichero de entrada   (+1 test(s) más caídos)
110	204.2	0.3639	cae	scrum765-la-puerta-y-el-suelo.test.mjs · CONTRASTE: la puerta NO abre para nadie que no sea el fichero de entrada   (+1 test(s) más caídos)
111	207.0	0.3688	cae	scrum765-la-puerta-y-el-suelo.test.mjs · SUELO DEL CENSO: si el censo encoge, es CIEGO   (+1 test(s) más caídos)
112	210.5	0.3750	cae	scrum765-la-puerta-y-el-suelo.test.mjs · SUELO DE EJECUCIÓN: cero mutaciones ejecutadas es CIEGO, no verde   (+1 test(s) más caídos)
113	212.3	0.3783	cae	scrum766-el-grep-que-cuenta-lineas.test.mjs · SCRUM-766 · 🔴 EL QUE DECIDE: 3 CR en 50 líneas — el contador por BYTES dice 3   (+1 test(s) más caídos)
114	213.3	0.3800	cae	scrum766-el-grep-que-cuenta-lineas.test.mjs · SCRUM-766 · ✅ CONTROL POSITIVO: el detector caza el grep que YA SABEMOS que está mal   (+3 test(s) más caídos)
115	214.6	0.3822	cae	scrum767-portal-token.test.mjs · SCRUM-767 · el SEMBRADOR da de alta por el camino real, no con un `create` a pelo   (+1 test(s) más caídos)
116	215.2	0.3834	cae	scrum767-portal-token.test.mjs · SCRUM-767 · el alta REAL pone token, y las que no lo ponen están DECLARADAS   (+1 test(s) más caídos)
117	215.8	0.3845	cae	scrum767-portal-token.test.mjs · SCRUM-767 · 🔴 EL CENSO QUE DECIDE: qué lee el token SIN pasar por la cura
118	221.1	0.3940	cae	scrum768-listas-sin-atajo.test.mjs · la lista de vistas con botón de crear y SIN atajo no CRECE   (+1 test(s) más caídos)
119	222.5	0.3964	cae	scrum769-el-motivo-de-las-dos-que-no.test.mjs · Productos y Proveedores NO registran, y es a propósito
120	223.1	0.3975	cae	scrum769-el-motivo-de-las-dos-que-no.test.mjs · el registro de microcopy declara firmados EXACTAMENTE los dos
121	223.8	0.3987	cae	scrum769-el-motivo-de-las-dos-que-no.test.mjs · las dos que NO lo llevan dicen POR QUÉ, en su propio fichero
122	227.3	0.4049	cae	scrum771-el-emisor-no-valida-el-tipo.test.mjs · SCRUM-771 · CENSO: toda boca que emite comprueba el tipo de IVA antes de pedir número   (+1 test(s) más caídos)
123	229.0	0.4080	cae	scrum771-el-emisor-no-valida-el-tipo.test.mjs · SCRUM-771 · CENSO: toda boca que emite comprueba el tipo de IVA antes de pedir número   (+2 test(s) más caídos)
124	230.9	0.4113	cae	scrum771-el-emisor-no-valida-el-tipo.test.mjs · SCRUM-771 · la lista de tipos españoles vive en UN solo fichero de `src/`
125	242.8	0.4325	cae	scrum775-suelo-que-no-dispara.test.mjs · SCRUM-775 · 🔴 EL QUE DECIDE: con el censo encogido el CLI sale con 2 y DICE por qué   (+2 test(s) más caídos)
126	247.9	0.4417	cae	scrum775-suelo-que-no-dispara.test.mjs · SCRUM-775 · ✅ POSITIVO: con el censo SIN encoger el CLI sigue saliendo con 0   (+2 test(s) más caídos)
127	255.1	0.4544	cae	scrum775-suelo-que-no-dispara.test.mjs · SCRUM-775 · 🔴 CONTROL POSITIVO: el censo caza los DOS casos conocidos, el roto y el bueno
128	257.1	0.4581	cae	scrum777-el-modal-escondido-no-mata-la-n.test.mjs · la pieza distingue un modal ESCONDIDO de uno DELANTE
129	258.2	0.4600	cae	scrum777-el-modal-escondido-no-mata-la-n.test.mjs · la lista de modales que se cierran ESCONDIÉNDOSE no CRECE   (+1 test(s) más caídos)
130	261.9	0.4665	cae	scrum778-la-lista-cableada.test.mjs · SCRUM-778 · ✅ CONTROL POSITIVO: el censo ve la boca que la lista CABLEADA no veía   (+3 test(s) más caídos)
131	263.7	0.4698	cae	scrum778-la-lista-cableada.test.mjs · SCRUM-778 · ✅ CONTROL POSITIVO: el censo ve las bocas del embudo, no sólo las de `emitInvoice`   (+3 test(s) más caídos)
132	265.6	0.4731	cae	scrum778-la-lista-cableada.test.mjs · SCRUM-778 · 🔴 la DIRECCIÓN del portón importa: llamarlo DESPUÉS no protege
133	266.6	0.4750	cae	scrum781-concurrencia-de-la-factura.test.mjs · SCRUM-781 · 🔴 un número CERCA del umbral con mucha dispersión SE RETIRA
134	267.2	0.4760	cae	scrum781-concurrencia-de-la-factura.test.mjs · SCRUM-781 · ✅ CONTROL POSITIVO: un número LEJOS del umbral NO se retira
135	267.7	0.4770	cae	scrum781-concurrencia-de-la-factura.test.mjs · SCRUM-781 · SUELO: la dispersión se calcula, y DISTINGUE mediana de extremos
136	271.8	0.4842	cae	scrum783-seleccion-sobrevive-navegacion.test.mjs · EL QUE DECIDE: marcar tres, ver una ficha y VOLVER deja los TRES   (+3 test(s) más caídos)
137	273.8	0.4879	cae	scrum783-seleccion-sobrevive-navegacion.test.mjs · POSITIVO: BUSCAR sigue RECORTANDO la selección, y el recorte es DEFINITIVO
138	276.9	0.4933	cae	scrum784-el-cuarto-veredicto.test.mjs · un caído que es LA RUTA del fichero es una MUERTE, no un silencio   (+1 test(s) más caídos)
139	278.4	0.4961	cae	scrum784-el-cuarto-veredicto.test.mjs · un caído que es LA RUTA del fichero es una MUERTE, no un silencio
140	280.0	0.4988	cae	scrum784-el-cuarto-veredicto.test.mjs · la ruta se compara RESUELTA, no por texto
141	281.5	0.5015	cae	scrum784-el-cuarto-veredicto.test.mjs · `cayo()` sigue exigiendo EL NOMBRE declarado, ni uno más
142	283.0	0.5042	cae	scrum785-productos-y-proveedores-descuelgan.test.mjs · Productos: tras EDITAR y cerrar NO queda un modal colgado del body   (+1 test(s) más caídos)
143	283.8	0.5056	cae	scrum785-productos-y-proveedores-descuelgan.test.mjs · Proveedores: tras EDITAR y cerrar NO queda un modal colgado del body   (+1 test(s) más caídos)
144	284.9	0.5076	cae	scrum792-barra-alcanzable-en-movil.test.mjs · EL UMBRAL VIVE UNA SOLA VEZ: las dos reglas comparten el MISMO `@media`
145	285.5	0.5086	cae	scrum792-barra-alcanzable-en-movil.test.mjs · con CERO la barra se marca VACÍA y dice el literal YA APROBADO   (+1 test(s) más caídos)
146	286.6	0.5106	cae	scrum793-condicion-en-el-where.test.mjs · SCRUM-793 · 🔴 la ESCRITURA lleva la condición DENTRO de su `where`   (+1 test(s) más caídos)
147	287.1	0.5116	cae	scrum793-condicion-en-el-where.test.mjs · SCRUM-793 · 🔴 la ESCRITURA lleva la condición DENTRO de su `where`   (+1 test(s) más caídos)
148	287.7	0.5125	cae	scrum793-condicion-en-el-where.test.mjs · SCRUM-793 · y NO se devuelve el token que este hilo generó sin comprobar que ganó   (+1 test(s) más caídos)
149	289.0	0.5149	cae	scrum794-un-solo-anadir-linea.test.mjs · EL QUE DECIDE: hay EXACTAMENTE UN «+ Añadir línea», y es el de abajo   (+2 test(s) más caídos)
150	289.7	0.5161	cae	scrum794-un-solo-anadir-linea.test.mjs · el estado de CERO LÍNEAS no existe: hay cuadernillo al montar y suelo al borrar
151	290.7	0.5179	cae	scrum795-el-portal-en-la-ficha.test.mjs · SCRUM-795 · 🔴 el botón del portal de la FICHA 360 no cuelga de `portalUrl`
152	291.2	0.5189	cae	scrum795-el-portal-en-la-ficha.test.mjs · SCRUM-795 · 🔴 pedir el portal ocurre AL PULSAR, nunca al abrir la ficha
153	295.0	0.5256	cae	scrum797-el-dueno-se-escribe.test.mjs · SCRUM-797 · 🔴 ningún alta de Customer se calla de quién es
154	296.9	0.5289	cae	scrum797-el-dueno-se-escribe.test.mjs · SCRUM-797 · 🔴 la columna del dueño NO vuelve a ser donante
155	298.7	0.5322	cae	scrum797-el-dueno-se-escribe.test.mjs · SCRUM-797 · 🔴 SUELO: si no veo altas, no he medido   (+1 test(s) más caídos)
156	301.2	0.5366	cae	scrum801-el-respaldo-de-la-n.test.mjs · lee `(window.renderX || renderX)(…)`, que es como se pintan dos vistas
157	302.5	0.5389	cae	scrum801-el-respaldo-de-la-n.test.mjs · CONTROL POSITIVO: las dos medidas con teclado real siguen cayendo   (+1 test(s) más caídos)
158	303.7	0.5411	cae	scrum801-el-respaldo-de-la-n.test.mjs · una MENCIÓN de `registrar` en un comentario no cuenta como destino
159	304.8	0.5430	cae	scrum804-el-guard-no-es-el-numero.test.mjs · la ruta ARMADA con path.join cuenta: es como lee la casa (el caso del 806)
160	305.3	0.5439	cae	scrum804-el-guard-no-es-el-numero.test.mjs · mencionar una ruta de producto sin LEER nada no prueba nada
161	305.8	0.5449	cae	scrum804-el-guard-no-es-el-numero.test.mjs · un guard verde sin aterrizaje no es HECHO
162	307.4	0.5477	cae	scrum805-que-firmo-el-cliente.test.mjs · EL QUE DECIDE: cada campo del contenido mueve el hash   (+1 test(s) más caídos)
163	308.3	0.5492	cae	scrum805-que-firmo-el-cliente.test.mjs · un presupuesto firmado SIN evidencia no puede pasar
164	309.1	0.5508	cae	scrum805-que-firmo-el-cliente.test.mjs · los literales del PDF son BYTE A BYTE los del albarán
165	313.0	0.5577	cae	scrum808-el-arbol-que-queda-mutado.test.mjs · lo que NO se puede devolver sale NOMBRADO, y la marca se queda
166	315.0	0.5612	cae	scrum808-el-arbol-que-queda-mutado.test.mjs · una mutación que sobrevivió a la pasada se REPARA, y se dice
167	316.9	0.5646	cae	scrum808-el-arbol-que-queda-mutado.test.mjs · una marca ILEGIBLE se denuncia
168	318.8	0.5680	cae	scrum808-el-arbol-que-queda-mutado.test.mjs · en `copyFileSync` el destino es el SEGUNDO argumento
169	322.6	0.5747	cae	scrum810-el-suelo-a-la-primera.test.mjs · perder UNA declaración ya habla, y nombra el guard   (+1 test(s) más caídos)
170	324.4	0.5780	cae	scrum810-el-suelo-a-la-primera.test.mjs · CRECER no dispara nada: un suelo que salta siempre se desactiva
171	326.3	0.5813	cae	scrum810-el-suelo-a-la-primera.test.mjs · la retirada A PROPÓSITO se puede hacer sin pelearse con el suelo
172	331.4	0.5904	cae	scrum810b-los-suelos-derivados.test.mjs · perder UNO de cualquier población ya habla, y la nombra   (+2 test(s) más caídos)
173	333.9	0.5949	cae	scrum810b-los-suelos-derivados.test.mjs · CRECER sigue siendo gratis en la dirección no-encoger   (+1 test(s) más caídos)
174	336.5	0.5995	cae	scrum810b-los-suelos-derivados.test.mjs · un TOPE es el mismo trinquete del revés: lo que viola es CRECER
175	339.0	0.6040	cae	scrum810b-los-suelos-derivados.test.mjs · la retirada A PROPÓSITO también vale para una población
176	341.8	0.6089	cae	scrum812-el-rotulo-declara-su-poblacion.test.mjs · SCRUM-812 · 🔴 GUARD del rótulo: dice DECLARANTES y publica su DENOMINADOR
177	343.1	0.6113	cae	scrum812-el-rotulo-declara-su-poblacion.test.mjs · SCRUM-812 · 🔴 EL QUE DECIDE: el subconjunto auto-declarado lleva su LÍMITE PEGADO
178	344.5	0.6137	cae	scrum812-el-rotulo-declara-su-poblacion.test.mjs · SCRUM-812 · 🔴 SUELO del GUARD: sobre población CERO se declara CIEGO, no cero
179	345.8	0.6161	cae	scrum812-el-rotulo-declara-su-poblacion.test.mjs · SCRUM-812 · 🔴 EL TRINQUETE del GUARD: la cobertura auto-declarada NO BAJA
180	347.6	0.6192	cae	scrum813-trinquete-de-zona.test.mjs · el trinquete HABLA: un test que depende de la zona sale denunciado   (+2 test(s) más caídos)
181	348.3	0.6205	cae	scrum813-trinquete-de-zona.test.mjs · el trinquete NO denuncia a los tests que YA fijan su zona   (+1 test(s) más caídos)
