# SCRUM-935 · perfil de una pasada completa del meta-guard
# mutaciones en el log: 307 · censo que declara el propio instrumento: 307
# fase de mutación: 576.7 s
#
# n	seg_desde_la_1a	fraccion_del_trabajo	veredicto	mutacion
49	54.1	0.0938	cae	scrum740-carrera-por-el-arbol.test.mjs · y cada barredor CIERRA con su suelo
50	55.2	0.0958	cae	scrum743-tercera-forma.test.mjs · el front y el backend escriben el MISMO número
51	55.8	0.0968	cae	scrum743-tercera-forma.test.mjs · el rótulo del eje ya pasa por la tercera forma
52	60.8	0.1054	cae	scrum745-comparar-por-identidad.test.mjs · el meta-guard mira la LÍNEA BASE, y NO reconoce mensajes de error
53	63.4	0.1099	cae	scrum745-comparar-por-identidad.test.mjs · con el FICHERO MUERTO, ni pasó ni cayó   (+1 test(s) más caídos)
54	65.9	0.1142	cae	scrum745-comparar-por-identidad.test.mjs · los dos lectores NO cuelgan de ningún reporter
55	67.8	0.1175	cae	scrum745-comparar-por-identidad.test.mjs · una declaración INCOMPLETA se DENUNCIA, no se descarta en silencio
56	69.3	0.1201	cae	scrum748-no-lo-se-no-es-al-dia.test.mjs · y la LÍNEA que decide ya no lleva el respaldo   (+1 test(s) más caídos)
57	70.0	0.1214	cae	scrum748-no-lo-se-no-es-al-dia.test.mjs · NINGÚN estado desconocido se pinta «AL DÍA»   (+1 test(s) más caídos)
58	70.9	0.1230	cae	scrum749-la-primitiva-que-normaliza.test.mjs · un día que NO EXISTE se RECHAZA, no se normaliza a otro   (+2 test(s) más caídos)
59	77.4	0.1342	cae	scrum750-los-dos-calendarios.test.mjs · EL QUE DECIDE: navegador en Auckland   (+3 test(s) más caídos)
60	81.6	0.1416	cae	scrum750-los-dos-calendarios.test.mjs · la VISTA le pasa el merchant al atajo
61	85.8	0.1487	cae	scrum750-los-dos-calendarios.test.mjs · FAIL-CLOSED: sin la pieza de calendario
62	90.0	0.1561	cae	scrum750-los-dos-calendarios.test.mjs · DELEGA y no recalcula
63	93.9	0.1628	cae	scrum751-clave-duplicada-en-silencio.test.mjs · NINGÚN objeto literal del árbol repite una clave
64	95.8	0.1662	cae	scrum751-clave-duplicada-en-silencio.test.mjs · NINGÚN objeto literal del árbol repite una clave
65	102.8	0.1782	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 CONTROL POSITIVO: un ticket que NO está en `main`, y el censo lo DICE   (+4 test(s) más caídos)
66	107.4	0.1862	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 el NO_MEDIBLE lleva SIEMPRE su motivo, y los motivos se distinguen   (+2 test(s) más caídos)
67	111.3	0.1929	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 el titular agregado sale SIEMPRE con su salvedad, del mismo valor   (+1 test(s) más caídos)
68	114.3	0.1981	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 la población NO vuelve a preguntarle a git: sale de la MISMA instantánea
69	118.3	0.2051	cae	scrum753-censo-de-alcanzabilidad.test.mjs · SCRUM-753 · 🔴 `origin/HEAD` no se cuenta como una rama (respuesta conocida: `ls-remote`)
70	123.4	0.2139	cae	scrum754-el-juez-que-oscila.test.mjs · el observador VE el transitorio y NO llama movimiento a una lectura
71	125.9	0.2183	cae	scrum754-el-juez-que-oscila.test.mjs · el observador VE el transitorio y NO llama movimiento a una lectura   (+2 test(s) más caídos)
72	128.5	0.2229	cae	scrum754-el-juez-que-oscila.test.mjs · PUERTA 0: la línea base movida sale CIEGA NOMBRANDO el movimiento
73	131.1	0.2273	cae	scrum754-el-juez-que-oscila.test.mjs · PUERTA 3 se consulta ANTES que `cayo()`
74	133.5	0.2315	cae	scrum754-el-juez-que-oscila.test.mjs · la MÍA cambiada sí, y con otro nombre
75	136.2	0.2362	cae	scrum754-el-juez-que-oscila.test.mjs · SUELO Y TOPE del margen
76	138.8	0.2406	cae	scrum754-el-juez-que-oscila.test.mjs · una marca de OTRA pasada VIVA no se repara
77	141.2	0.2449	cae	scrum755-el-contador-que-cuadro-solo.test.mjs · SCRUM-755 · 🔴 EL ÁRBOL PINTA MÁS MARCADORES DE LOS DECLARADOS
78	142.4	0.2470	cae	scrum755-el-contador-que-cuadro-solo.test.mjs · SCRUM-755 · 🔴 UN FICHERO NUEVO EMPIEZA A PINTAR MARCADOR   (+2 test(s) más caídos)
79	144.2	0.2501	cae	scrum756-el-rechazo-se-ve.test.mjs · EL QUE DECIDE: sin pasar por Clientes, el rechazo SE VE   (+2 test(s) más caídos)
80	145.2	0.2517	cae	scrum756-el-rechazo-se-ve.test.mjs · LA TRAMPA: tras visitar Clientes, el aviso del DOCUMENTO no va a su caja   (+3 test(s) más caídos)
81	146.1	0.2533	cae	scrum756-el-rechazo-se-ve.test.mjs · el aviso SE TRAE A LA VISTA: una vez, y sobre la caja   (+1 test(s) más caídos)
82	149.8	0.2598	cae	scrum757-la-declaracion-que-nadie-lee.test.mjs · una declaración NO EVALUABLE se DENUNCIA con fichero y línea   (+2 test(s) más caídos)
83	151.7	0.2630	cae	scrum757-la-declaracion-que-nadie-lee.test.mjs · una declaración NO EVALUABLE se DENUNCIA con fichero y línea
84	153.6	0.2664	cae	scrum757-la-declaracion-que-nadie-lee.test.mjs · una declaración NO EVALUABLE se DENUNCIA con fichero y línea
85	155.0	0.2688	cae	scrum757-la-declaracion-que-nadie-lee.test.mjs · NEGATIVO: un objeto cualquiera del fichero NO se denuncia   (+1 test(s) más caídos)
86	156.1	0.2706	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · 🔴 NINGUNA cabecera del log contradice a su propio cuerpo   (+1 test(s) más caídos)
87	156.6	0.2715	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · el log DECLARA que no cubre migraciones de DATOS   (+1 test(s) más caídos)
88	157.1	0.2725	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · ✅ CONTROL POSITIVO: el detector CAZA una cabecera que miente (fabricada)
89	157.7	0.2734	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · 🔴 EL SUELO: la zona ciega NO CRECE — una entrada nueva en prosa muda es ROJO   (+1 test(s) más caídos)
90	158.2	0.2743	cae	scrum758-cabecera-no-miente.test.mjs · SCRUM-758 · 🔴 EL SUELO: la zona ciega NO CRECE — una entrada nueva en prosa muda es ROJO   (+1 test(s) más caídos)
91	163.7	0.2838	cae	scrum759-el-guard-ciego-fuera-de-su-fichero.test.mjs · el rótulo de un adoptante está DERIVADO
92	166.4	0.2886	cae	scrum759-el-guard-ciego-fuera-de-su-fichero.test.mjs · lo declarado cuadra con lo leído
93	169.2	0.2934	cae	scrum759-el-guard-ciego-fuera-de-su-fichero.test.mjs · no confunde «no hay» con «no vi»
94	171.9	0.2980	cae	scrum759-el-guard-ciego-fuera-de-su-fichero.test.mjs · SUELO del censo   (+1 test(s) más caídos)
95	174.0	0.3017	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · la puerta de voz LLAMA a `invalidTipoIva`, no reimplementa la regla   (+2 test(s) más caídos)
96	175.1	0.3036	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · la puerta de voz LLAMA a `invalidTipoIva`, no reimplementa la regla
97	176.2	0.3055	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · la lista de tipos españoles vive en UN solo fichero de `src/`
98	177.3	0.3074	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · 🔴 EL CONTROL QUE DECIDE: el modelo contesta 21 y la pantalla NO pinta 100 %   (+1 test(s) más caídos)
99	178.4	0.3093	cae	scrum760-iva-de-voz-rechazado.test.mjs · SCRUM-760 · ✅ CONTROL POSITIVO: un 0.21 legítimo sigue dando 21 %, exactamente como hoy
100	183.4	0.3181	cae	scrum763-restaurar-el-arbol.test.mjs · el detector caza el desajuste entre el fuente y el árbol ejecutable
101	184.8	0.3205	cae	scrum763-restaurar-el-arbol.test.mjs · sólo se compila lo que se compila   (+4 test(s) más caídos)
102	185.9	0.3224	cae	scrum764-margen-negativo.test.mjs · EL QUE DECIDE: el caso del ticket, 150/100, sale marcado como bajo coste   (+1 test(s) más caídos)
103	186.5	0.3233	cae	scrum764-margen-negativo.test.mjs · POSITIVO: un margen normal NO se marca, y el cero tampoco   (+1 test(s) más caídos)
104	187.0	0.3243	cae	scrum764-margen-negativo.test.mjs · NEGATIVO: añadir el suelo por abajo NO ha roto el techo por arriba
105	187.6	0.3253	cae	scrum764-margen-negativo.test.mjs · y la clase existe en el CSS con esa tinta
106	188.1	0.3262	cae	scrum764-margen-negativo.test.mjs · Informes decide con el MÓDULO, no con un `< 0` propio   (+1 test(s) más caídos)
107	188.7	0.3273	cae	scrum764-margen-negativo.test.mjs · y las dos celdas de Informes usan `--danger-ink`   (+1 test(s) más caídos)
108	196.7	0.3410	cae	scrum765-la-puerta-y-el-suelo.test.mjs · la puerta ABRE en todas las formas de invocación   (+2 test(s) más caídos)
109	200.1	0.3470	cae	scrum765-la-puerta-y-el-suelo.test.mjs · CONTRASTE: la puerta NO abre para nadie que no sea el fichero de entrada   (+1 test(s) más caídos)
110	203.5	0.3529	cae	scrum765-la-puerta-y-el-suelo.test.mjs · CONTRASTE: la puerta NO abre para nadie que no sea el fichero de entrada   (+1 test(s) más caídos)
111	206.2	0.3576	cae	scrum765-la-puerta-y-el-suelo.test.mjs · SUELO DEL CENSO: si el censo encoge, es CIEGO   (+1 test(s) más caídos)
112	209.6	0.3635	cae	scrum765-la-puerta-y-el-suelo.test.mjs · SUELO DE EJECUCIÓN: cero mutaciones ejecutadas es CIEGO, no verde   (+1 test(s) más caídos)
113	211.5	0.3667	cae	scrum766-el-grep-que-cuenta-lineas.test.mjs · SCRUM-766 · 🔴 EL QUE DECIDE: 3 CR en 50 líneas — el contador por BYTES dice 3   (+1 test(s) más caídos)
114	212.4	0.3683	cae	scrum766-el-grep-que-cuenta-lineas.test.mjs · SCRUM-766 · ✅ CONTROL POSITIVO: el detector caza el grep que YA SABEMOS que está mal   (+3 test(s) más caídos)
115	213.6	0.3705	cae	scrum767-portal-token.test.mjs · SCRUM-767 · el SEMBRADOR da de alta por el camino real, no con un `create` a pelo   (+1 test(s) más caídos)
116	214.3	0.3715	cae	scrum767-portal-token.test.mjs · SCRUM-767 · el alta REAL pone token, y las que no lo ponen están DECLARADAS   (+1 test(s) más caídos)
117	214.9	0.3726	cae	scrum767-portal-token.test.mjs · SCRUM-767 · 🔴 EL CENSO QUE DECIDE: qué lee el token SIN pasar por la cura
118	219.9	0.3814	cae	scrum768-listas-sin-atajo.test.mjs · la lista de vistas con botón de crear y SIN atajo no CRECE   (+1 test(s) más caídos)
119	221.2	0.3836	cae	scrum769-el-motivo-de-las-dos-que-no.test.mjs · Productos y Proveedores NO registran, y es a propósito
120	221.8	0.3847	cae	scrum769-el-motivo-de-las-dos-que-no.test.mjs · el registro de microcopy declara firmados EXACTAMENTE los dos
121	222.5	0.3858	cae	scrum769-el-motivo-de-las-dos-que-no.test.mjs · las dos que NO lo llevan dicen POR QUÉ, en su propio fichero
122	225.8	0.3916	cae	scrum771-el-emisor-no-valida-el-tipo.test.mjs · SCRUM-771 · CENSO: toda boca que emite comprueba el tipo de IVA antes de pedir número   (+1 test(s) más caídos)
123	227.5	0.3945	cae	scrum771-el-emisor-no-valida-el-tipo.test.mjs · SCRUM-771 · CENSO: toda boca que emite comprueba el tipo de IVA antes de pedir número   (+2 test(s) más caídos)
124	229.3	0.3976	cae	scrum771-el-emisor-no-valida-el-tipo.test.mjs · SCRUM-771 · la lista de tipos españoles vive en UN solo fichero de `src/`
125	243.0	0.4213	cae	scrum775-suelo-que-no-dispara.test.mjs · SCRUM-775 · 🔴 EL QUE DECIDE: con el censo encogido el CLI sale con 2 y DICE por qué   (+2 test(s) más caídos)
126	248.8	0.4315	cae	scrum775-suelo-que-no-dispara.test.mjs · SCRUM-775 · ✅ POSITIVO: con el censo SIN encoger el CLI sigue saliendo con 0   (+2 test(s) más caídos)
127	256.2	0.4443	cae	scrum775-suelo-que-no-dispara.test.mjs · SCRUM-775 · 🔴 CONTROL POSITIVO: el censo caza los DOS casos conocidos, el roto y el bueno
128	258.2	0.4477	cae	scrum777-el-modal-escondido-no-mata-la-n.test.mjs · la pieza distingue un modal ESCONDIDO de uno DELANTE
129	259.1	0.4494	cae	scrum777-el-modal-escondido-no-mata-la-n.test.mjs · la lista de modales que se cierran ESCONDIÉNDOSE no CRECE   (+1 test(s) más caídos)
130	262.6	0.4554	cae	scrum778-la-lista-cableada.test.mjs · SCRUM-778 · ✅ CONTROL POSITIVO: el censo ve la boca que la lista CABLEADA no veía   (+3 test(s) más caídos)
131	264.4	0.4585	cae	scrum778-la-lista-cableada.test.mjs · SCRUM-778 · ✅ CONTROL POSITIVO: el censo ve las bocas del embudo, no sólo las de `emitInvoice`   (+3 test(s) más caídos)
132	266.1	0.4614	cae	scrum778-la-lista-cableada.test.mjs · SCRUM-778 · 🔴 la DIRECCIÓN del portón importa: llamarlo DESPUÉS no protege
133	267.2	0.4633	cae	scrum781-concurrencia-de-la-factura.test.mjs · SCRUM-781 · 🔴 un número CERCA del umbral con mucha dispersión SE RETIRA
134	267.7	0.4642	cae	scrum781-concurrencia-de-la-factura.test.mjs · SCRUM-781 · ✅ CONTROL POSITIVO: un número LEJOS del umbral NO se retira
135	268.3	0.4653	cae	scrum781-concurrencia-de-la-factura.test.mjs · SCRUM-781 · SUELO: la dispersión se calcula, y DISTINGUE mediana de extremos
136	272.4	0.4723	cae	scrum783-seleccion-sobrevive-navegacion.test.mjs · EL QUE DECIDE: marcar tres, ver una ficha y VOLVER deja los TRES   (+3 test(s) más caídos)
137	274.4	0.4758	cae	scrum783-seleccion-sobrevive-navegacion.test.mjs · POSITIVO: BUSCAR sigue RECORTANDO la selección, y el recorte es DEFINITIVO
138	277.2	0.4807	cae	scrum784-el-cuarto-veredicto.test.mjs · un caído que es LA RUTA del fichero es una MUERTE, no un silencio   (+1 test(s) más caídos)
139	278.6	0.4832	cae	scrum784-el-cuarto-veredicto.test.mjs · un caído que es LA RUTA del fichero es una MUERTE, no un silencio
140	280.2	0.4858	cae	scrum784-el-cuarto-veredicto.test.mjs · la ruta se compara RESUELTA, no por texto
141	281.7	0.4885	cae	scrum784-el-cuarto-veredicto.test.mjs · `cayo()` sigue exigiendo EL NOMBRE declarado, ni uno más
142	283.1	0.4910	cae	scrum785-productos-y-proveedores-descuelgan.test.mjs · Productos: tras EDITAR y cerrar NO queda un modal colgado del body   (+1 test(s) más caídos)
143	283.9	0.4922	cae	scrum785-productos-y-proveedores-descuelgan.test.mjs · Proveedores: tras EDITAR y cerrar NO queda un modal colgado del body   (+1 test(s) más caídos)
144	285.0	0.4942	cae	scrum792-barra-alcanzable-en-movil.test.mjs · EL UMBRAL VIVE UNA SOLA VEZ: las dos reglas comparten el MISMO `@media`
145	285.6	0.4952	cae	scrum792-barra-alcanzable-en-movil.test.mjs · con CERO la barra se marca VACÍA y dice el literal YA APROBADO   (+1 test(s) más caídos)
146	286.6	0.4971	cae	scrum793-condicion-en-el-where.test.mjs · SCRUM-793 · 🔴 la ESCRITURA lleva la condición DENTRO de su `where`   (+1 test(s) más caídos)
147	287.2	0.4980	cae	scrum793-condicion-en-el-where.test.mjs · SCRUM-793 · 🔴 la ESCRITURA lleva la condición DENTRO de su `where`   (+1 test(s) más caídos)
148	287.7	0.4989	cae	scrum793-condicion-en-el-where.test.mjs · SCRUM-793 · y NO se devuelve el token que este hilo generó sin comprobar que ganó   (+1 test(s) más caídos)
149	289.0	0.5011	cae	scrum794-un-solo-anadir-linea.test.mjs · EL QUE DECIDE: hay EXACTAMENTE UN «+ Añadir línea», y es el de abajo   (+2 test(s) más caídos)
150	289.7	0.5023	cae	scrum794-un-solo-anadir-linea.test.mjs · el estado de CERO LÍNEAS no existe: hay cuadernillo al montar y suelo al borrar
151	290.7	0.5041	cae	scrum795-el-portal-en-la-ficha.test.mjs · SCRUM-795 · 🔴 el botón del portal de la FICHA 360 no cuelga de `portalUrl`
152	291.2	0.5050	cae	scrum795-el-portal-en-la-ficha.test.mjs · SCRUM-795 · 🔴 pedir el portal ocurre AL PULSAR, nunca al abrir la ficha
153	294.8	0.5112	cae	scrum797-el-dueno-se-escribe.test.mjs · SCRUM-797 · 🔴 ningún alta de Customer se calla de quién es
154	296.6	0.5143	cae	scrum797-el-dueno-se-escribe.test.mjs · SCRUM-797 · 🔴 la columna del dueño NO vuelve a ser donante
155	298.3	0.5174	cae	scrum797-el-dueno-se-escribe.test.mjs · SCRUM-797 · 🔴 SUELO: si no veo altas, no he medido   (+1 test(s) más caídos)
156	300.8	0.5216	cae	scrum801-el-respaldo-de-la-n.test.mjs · lee `(window.renderX || renderX)(…)`, que es como se pintan dos vistas
157	302.0	0.5237	cae	scrum801-el-respaldo-de-la-n.test.mjs · CONTROL POSITIVO: las dos medidas con teclado real siguen cayendo   (+1 test(s) más caídos)
158	303.2	0.5258	cae	scrum801-el-respaldo-de-la-n.test.mjs · una MENCIÓN de `registrar` en un comentario no cuenta como destino
159	304.2	0.5276	cae	scrum804-el-guard-no-es-el-numero.test.mjs · la ruta ARMADA con path.join cuenta: es como lee la casa (el caso del 806)
160	304.8	0.5285	cae	scrum804-el-guard-no-es-el-numero.test.mjs · mencionar una ruta de producto sin LEER nada no prueba nada
161	305.3	0.5294	cae	scrum804-el-guard-no-es-el-numero.test.mjs · un guard verde sin aterrizaje no es HECHO
162	306.8	0.5321	cae	scrum805-que-firmo-el-cliente.test.mjs · EL QUE DECIDE: cada campo del contenido mueve el hash   (+1 test(s) más caídos)
163	307.6	0.5334	cae	scrum805-que-firmo-el-cliente.test.mjs · un presupuesto firmado SIN evidencia no puede pasar
164	308.5	0.5349	cae	scrum805-que-firmo-el-cliente.test.mjs · los literales del PDF son BYTE A BYTE los del albarán
165	312.2	0.5414	cae	scrum808-el-arbol-que-queda-mutado.test.mjs · lo que NO se puede devolver sale NOMBRADO, y la marca se queda
166	314.1	0.5447	cae	scrum808-el-arbol-que-queda-mutado.test.mjs · una mutación que sobrevivió a la pasada se REPARA, y se dice
167	316.0	0.5480	cae	scrum808-el-arbol-que-queda-mutado.test.mjs · una marca ILEGIBLE se denuncia
168	317.9	0.5512	cae	scrum808-el-arbol-que-queda-mutado.test.mjs · en `copyFileSync` el destino es el SEGUNDO argumento
169	321.4	0.5573	cae	scrum810-el-suelo-a-la-primera.test.mjs · perder UNA declaración ya habla, y nombra el guard   (+1 test(s) más caídos)
170	323.1	0.5602	cae	scrum810-el-suelo-a-la-primera.test.mjs · CRECER no dispara nada: un suelo que salta siempre se desactiva
171	324.8	0.5632	cae	scrum810-el-suelo-a-la-primera.test.mjs · la retirada A PROPÓSITO se puede hacer sin pelearse con el suelo
172	329.5	0.5714	cae	scrum810b-los-suelos-derivados.test.mjs · perder UNO de cualquier población ya habla, y la nombra   (+2 test(s) más caídos)
173	331.8	0.5754	cae	scrum810b-los-suelos-derivados.test.mjs · CRECER sigue siendo gratis en la dirección no-encoger   (+1 test(s) más caídos)
174	334.2	0.5795	cae	scrum810b-los-suelos-derivados.test.mjs · un TOPE es el mismo trinquete del revés: lo que viola es CRECER
175	336.6	0.5837	cae	scrum810b-los-suelos-derivados.test.mjs · la retirada A PROPÓSITO también vale para una población
176	339.2	0.5882	cae	scrum812-el-rotulo-declara-su-poblacion.test.mjs · SCRUM-812 · 🔴 GUARD del rótulo: dice DECLARANTES y publica su DENOMINADOR
177	340.5	0.5904	cae	scrum812-el-rotulo-declara-su-poblacion.test.mjs · SCRUM-812 · 🔴 EL QUE DECIDE: el subconjunto auto-declarado lleva su LÍMITE PEGADO
178	341.8	0.5927	cae	scrum812-el-rotulo-declara-su-poblacion.test.mjs · SCRUM-812 · 🔴 SUELO del GUARD: sobre población CERO se declara CIEGO, no cero
179	343.1	0.5950	cae	scrum812-el-rotulo-declara-su-poblacion.test.mjs · SCRUM-812 · 🔴 EL TRINQUETE del GUARD: la cobertura auto-declarada NO BAJA
180	344.8	0.5978	cae	scrum813-trinquete-de-zona.test.mjs · el trinquete HABLA: un test que depende de la zona sale denunciado   (+2 test(s) más caídos)
181	345.5	0.5991	cae	scrum813-trinquete-de-zona.test.mjs · el trinquete NO denuncia a los tests que YA fijan su zona   (+1 test(s) más caídos)
